idx	impl	1H_DSSD_E	1H_Veto_E	2H_DSSD_E	2H_Veto_E	3H_DSSD_E	3H_Veto_E	3He_DSSD_E	3He_Veto_E	4He_DSSD_E	4He_Veto_E
185	18500000	1435680	1783360	2645660	3280220	3675740	4743000	18500000	0	18500000	0
186	18600000	1658060	1831440	2772900	3103420	3810120	4565060	18600000	0	18600000	0
187	18700000	1499310	1691970	2718790	3074570	3799760	4688390	18700000	0	18700000	0
188	18800000	1510130	1629620	2647010	2995520	3768110	4629040	18800000	0	18800000	0
189	18900000	1533310	1691290	2554740	3139410	3835910	4592390	18900000	0	18900000	0
190	19000000	1414660	1466710	2772740	3012760	3697170	4415170	19000000	0	19000000	0
191	19100000	1659600	1660070	2779300	3100010	3648870	4594940	19100000	0	19100000	0
192	19200000	1398990	1639110	2583880	2983220	3589480	4430370	19200000	0	19200000	0
193	19300000	1423590	1630060	2597000	3063320	3616330	4441760	19300000	0	19300000	0
194	19400000	1452900	1604460	2514240	2970510	3632570	4467560	19400000	0	19400000	0
195	19500000	1447840	1642890	2497650	2881520	3576080	4431470	19500000	0	19500000	0
196	19600000	1370890	1572390	2632050	2864110	3630180	4121000	19600000	0	19600000	0
197	19700000	1389570	1518520	2643050	2994780	3575340	4315810	19700000	0	19700000	0
198	19800000	1421590	1587540	2556510	2930750	3480730	4179540	19800000	0	19800000	0
199	19900000	1695180	1533950	2692220	3070950	3510050	4247270	19900000	0	19900000	0
200	20000000	1376560	1638180	2666180	2891020	3589230	4243370	20000000	0	20000000	0
201	20100000	1392530	1471150	2402190	2695410	3555780	4106730	20100000	0	20100000	0
202	20200000	1385410	1455360	2527610	2833870	3562850	4281740	20200000	0	20200000	0
203	20300000	1464390	1452950	2546340	2544220	3520950	4235960	20300000	0	20300000	0
204	20400000	1524890	1366660	2392240	2861210	3342110	3932640	20400000	0	20400000	0
205	20500000	1292840	1481330	2456850	2700360	3520350	4034740	20500000	0	20500000	0
206	20600000	1496180	1495870	2402720	2656790	3524090	4061710	20600000	0	20600000	0
207	20700000	1571610	1564740	2592690	2786730	3356050	3963300	20700000	0	20700000	0
208	20800000	1366420	1428250	2458950	2784230	3439020	4006030	20800000	0	20800000	0
209	20900000	1268270	1512380	2453860	2612790	3358210	3933840	20900000	0	20900000	0
210	21000000	1451900	1469730	2447710	2876270	3375070	3895850	21000000	0	21000000	0
211	21100000	1208020	1463500	2508880	2638550	3460530	4033060	21100000	0	21100000	0
212	21200000	1442010	1377150	2368150	2635930	3153110	3832340	21200000	0	21200000	0
213	21300000	1346670	1553530	2447030	2584160	3370250	3811680	21300000	0	21300000	0
214	21400000	1406020	1460810	2378000	2580690	3387620	3835360	21388367.36	11632.64	21400000	0
215	21500000	1267170	1370050	2239020	2709300	3233490	3739380	19490270	2009730	21500000	0
216	21600000	1359900	1528450	2376310	2660880	3373390	3989990	20950230	649770	21600000	0
217	21700000	1313330	1329490	2415140	2680320	3280340	3801410	19660340	2039660	21700000	0
218	21800000	1247060	1499470	2349600	2561450	3098700	3765860	20161659	1638341	21800000	0
219	21900000	1435290	1383800	2430760	2566770	3334790	3750220	19609806	2290194	21900000	0
220	22000000	1120860	1491150	2411460	2435140	3247730	3746780	18993812	3006188	22000000	0
221	22100000	1328450	1382840	2319870	2482310	3385700	3753610	19050363	3049637	22100000	0
222	22200000	1347430	1416000	2377660	2642150	3171750	3724230	18399298	3800702	22200000	0
223	22300000	1218260	1306110	2378210	2417100	3129150	3570040	18163957	4136043	22300000	0
224	22400000	1456570	1351300	2327360	2637980	3256580	3651910	17403116	4996884	22400000	0
225	22500000	1296800	1508670	2318690	2492270	2991340	3599140	18227168	4272832	22500000	0
226	22600000	1260360	1398480	2296980	2352540	3164010	3695540	17205105	5394895	22600000	0
227	22700000	1284570	1338130	2413690	2531120	3101030	3491400	17018404	5681596	22700000	0
228	22800000	1422310	1300830	2170940	2457760	3145480	3575780	16457483	6342517	22800000	0
229	22900000	1280470	1247100	2270440	2427450	3210620	3648030	16629489	6270511	22900000	0
230	23000000	1288210	1420510	2267910	2507110	3152230	3537540	16523488	6476512	23000000	0
231	23100000	1267630	1147050	2317640	2523590	2998470	3519720	16661126	6438874	23100000	0
232	23200000	1322530	1299280	2348760	2419300	3139380	3618250	16085124	7114876	23200000	0
233	23300000	1175790	1315850	2243170	2407820	3182560	3438060	16438664	6861336	23300000	0
234	23400000	1162240	1351930	2081400	2361800	3068370	3539040	15960793	7439207	23400000	0
235	23500000	1303150	1183040	2251510	2472690	3131740	3526160	15572707	7927293	23500000	0
236	23600000	1454710	1275470	2002960	2355220	2961090	3310230	15808921	7791079	23600000	0
237	23700000	1257600	1322920	2155710	2424400	3112480	3364630	15484252	8215748	23700000	0
238	23800000	1337270	1235070	2176300	2347760	2939110	3478720	15939978	7860022	23800000	0
239	23900000	1176250	1440080	2133110	2272120	3017370	3361800	15795463	8104537	23900000	0
240	24000000	1226210	1341580	2125470	2340890	2858280	3298880	15608397	8391603	24000000	0
241	24100000	1155660	1331970	2126680	2362710	3066830	3320380	15549167	8550833	24100000	0
242	24200000	1199270	1268160	2038930	2302920	2875810	3245240	15188447	9011553	23856050.5	343949.5
243	24300000	1192490	1350840	2041890	2288080	3079830	3419430	14983381	9316619	24056304	243696
244	24400000	1245100	1262370	2204840	2447300	3040890	3331000	15030259	9369741	23137539	1262461
245	24500000	1251100	1266710	2014270	2302460	2782260	3239350	15230577	9269423	22497622	2002378
246	24600000	1298210	1327020	2125890	2285790	2976180	3271620	14490750	10109250	22477131	2122869
247	24700000	1199820	1267750	2100090	2286530	2947350	3442340	14349030	10350970	21421790	3278210
248	24800000	1300110	1181890	2212100	2353420	3013770	3331980	14856633	9943367	21513270	3286730
249	24900000	1229130	1213190	2157150	2412370	2862620	3160310	14651040	10248960	20901282	3998718
250	25000000	1217840	1291270	2090450	2238750	2944400	3272050	14180370	10819630	21807343	3192657
251	25100000	1250240	1258580	2090950	2204450	2930750	3264210	14465510	10634490	20189311	4910689
252	25200000	1202320	1141250	2043160	2214540	2907020	3265470	14154220	11045780	21457135	3742865
253	25300000	1226340	1174010	2209370	2269840	2967830	3208330	14661100	10638900	20726862	4573138
