273Ds_K,273Ds_宇称,273Ds_量子数,273Ds_Ex(MeV),269Hs_K,269Hs_宇称,269Hs_量子数,269Hs_Ex(MeV),Q值(MeV),Alpha动能(MeV)
1.5,+,622,0.817,4.5,+,615,1.011,10.313,10.1619
0.5,+,620,0.828,1.5,+,611,1.163,10.172,10.023
1.5,+,622,0.817,1.5,+,611,1.163,10.161,10.0121
0.5,+,620,0.828,5.5,+,606,1.181,10.154,10.0052
2.5,+,613,0.628,4.5,+,604,0.983,10.152,10.0033
0.5,+,631,2.025,0.5,-,750,2.384,10.148,9.9993
2.5,+,613,0.628,2.5,+,613,0.987,10.148,9.9993
1.5,+,622,0.817,5.5,+,606,1.181,10.143,9.9944
2.5,+,613,0.628,4.5,-,734,0.997,10.138,9.9895
2.5,+,613,0.628,4.5,+,615,1.011,10.124,9.9757
6.5,-,716,0.0,6.5,-,716,0.385,10.122,9.9737
1.5,+,611,0.566,4.5,+,604,0.983,10.09,9.9422
1.5,+,611,0.566,2.5,+,613,0.987,10.086,9.9382
1.5,+,611,0.566,4.5,-,734,0.997,10.076,9.9284
1.5,+,611,0.566,4.5,+,615,1.011,10.062,9.9146
4.5,+,615,1.171,3.5,-,743,1.619,10.059,9.9116
3.5,+,613,1.167,3.5,-,743,1.619,10.055,9.9077
4.5,+,604,0.53,4.5,+,604,0.983,10.054,9.9067
4.5,+,604,0.53,2.5,+,613,0.987,10.05,9.9027
4.5,+,615,1.171,0.5,+,611,1.637,10.041,9.8939
4.5,+,604,0.53,4.5,-,734,0.997,10.04,9.8929
3.5,+,613,1.167,0.5,+,611,1.637,10.037,9.8899
4.5,+,615,1.171,0.5,-,741,1.642,10.036,9.889
3.5,+,613,1.167,0.5,-,741,1.642,10.032,9.885
0.5,+,611,1.14,3.5,-,743,1.619,10.028,9.8811
4.5,+,604,0.53,4.5,+,615,1.011,10.026,9.8791
5.5,+,606,1.127,3.5,-,743,1.619,10.015,9.8683
0.5,+,611,1.14,0.5,+,611,1.637,10.01,9.8633
0.5,+,611,1.14,0.5,-,741,1.642,10.005,9.8584
5.5,+,606,1.127,0.5,+,611,1.637,9.997,9.8505
5.5,+,606,1.127,0.5,-,741,1.642,9.992,9.8456
4.5,+,615,1.171,1.5,-,741,1.702,9.976,9.8298
2.5,+,613,0.628,1.5,+,611,1.163,9.972,9.8259
3.5,+,613,1.167,1.5,-,741,1.702,9.972,9.8259
4.5,-,734,1.846,0.5,-,750,2.384,9.969,9.8229
2.5,+,613,0.628,5.5,+,606,1.181,9.954,9.8082
0.5,+,611,1.14,1.5,-,741,1.702,9.945,9.7993
4.5,+,615,1.171,2.5,-,743,1.739,9.939,9.7934
3.5,+,613,1.167,2.5,-,743,1.739,9.935,9.7894
5.5,+,606,1.127,1.5,-,741,1.702,9.932,9.7865
4.5,+,615,1.171,2.5,-,752,1.751,9.927,9.7815
4.5,+,615,1.171,0.5,-,501,1.751,9.927,9.7815
3.5,+,613,1.167,0.5,-,501,1.751,9.923,9.7776
3.5,+,613,1.167,2.5,-,752,1.751,9.923,9.7776
5.5,-,725,1.026,3.5,-,743,1.619,9.914,9.7687
1.5,+,611,0.566,1.5,+,611,1.163,9.91,9.7648
0.5,+,611,1.14,2.5,-,743,1.739,9.908,9.7628
0.5,+,611,1.14,2.5,-,752,1.751,9.896,9.751
5.5,-,725,1.026,0.5,+,611,1.637,9.896,9.751
0.5,+,611,1.14,0.5,-,501,1.751,9.896,9.751
5.5,+,606,1.127,2.5,-,743,1.739,9.895,9.75
1.5,+,611,0.566,5.5,+,606,1.181,9.892,9.7471
5.5,-,725,1.026,0.5,-,741,1.642,9.891,9.7461
5.5,+,606,1.127,2.5,-,752,1.751,9.883,9.7382
5.5,+,606,1.127,0.5,-,501,1.751,9.883,9.7382
4.5,+,604,0.53,1.5,+,611,1.163,9.874,9.7293
4.5,+,604,0.53,5.5,+,606,1.181,9.856,9.7116
4.5,+,615,1.171,1.5,-,761,1.825,9.853,9.7086
3.5,+,613,1.167,1.5,-,761,1.825,9.849,9.7047
5.5,-,725,1.026,1.5,-,741,1.702,9.831,9.687
0.5,+,611,1.14,1.5,-,761,1.825,9.822,9.6781
5.5,+,606,1.127,1.5,-,761,1.825,9.809,9.6653
5.5,-,725,1.026,2.5,-,743,1.739,9.794,9.6505
5.5,-,725,1.026,2.5,-,752,1.751,9.782,9.6387
5.5,-,725,1.026,0.5,-,501,1.751,9.782,9.6387
0.5,+,620,0.828,3.5,-,743,1.619,9.716,9.5736
5.5,-,725,1.026,1.5,-,761,1.825,9.708,9.5658
1.5,+,622,0.817,3.5,-,743,1.619,9.705,9.5628
0.5,+,620,0.828,0.5,+,611,1.637,9.698,9.5559
0.5,+,620,0.828,0.5,-,741,1.642,9.693,9.551
1.5,+,622,0.817,0.5,+,611,1.637,9.687,9.5451
1.5,+,622,0.817,0.5,-,741,1.642,9.682,9.5401
0.5,+,620,0.828,1.5,-,741,1.702,9.633,9.4919
1.5,+,622,0.817,1.5,-,741,1.702,9.622,9.481
0.5,+,620,0.828,2.5,-,743,1.739,9.596,9.4554
1.5,+,622,0.817,2.5,-,743,1.739,9.585,9.4446
0.5,+,620,0.828,2.5,-,752,1.751,9.584,9.4436
0.5,+,620,0.828,0.5,-,501,1.751,9.584,9.4436
1.5,+,622,0.817,0.5,-,501,1.751,9.573,9.4327
1.5,+,622,0.817,2.5,-,752,1.751,9.573,9.4327
6.5,-,716,0.0,4.5,+,604,0.983,9.524,9.3845
6.5,-,716,0.0,2.5,+,613,0.987,9.52,9.3805
2.5,+,613,0.628,3.5,-,743,1.619,9.516,9.3766
6.5,-,716,0.0,4.5,-,734,0.997,9.51,9.3707
0.5,+,620,0.828,1.5,-,761,1.825,9.51,9.3707
1.5,+,622,0.817,1.5,-,761,1.825,9.499,9.3598
2.5,+,613,0.628,0.5,+,611,1.637,9.498,9.3588
6.5,-,716,0.0,4.5,+,615,1.011,9.496,9.3569
2.5,+,613,0.628,0.5,-,741,1.642,9.493,9.3539
1.5,+,611,0.566,3.5,-,743,1.619,9.454,9.3155
1.5,+,611,0.566,0.5,+,611,1.637,9.436,9.2977
2.5,+,613,0.628,1.5,-,741,1.702,9.433,9.2948
1.5,+,611,0.566,0.5,-,741,1.642,9.431,9.2928
4.5,+,604,0.53,3.5,-,743,1.619,9.418,9.28
4.5,+,604,0.53,0.5,+,611,1.637,9.4,9.2623
2.5,+,613,0.628,2.5,-,743,1.739,9.396,9.2583
4.5,+,604,0.53,0.5,-,741,1.642,9.395,9.2573
2.5,+,613,0.628,2.5,-,752,1.751,9.384,9.2465
2.5,+,613,0.628,0.5,-,501,1.751,9.384,9.2465
1.5,+,611,0.566,1.5,-,741,1.702,9.371,9.2337
6.5,-,716,0.0,1.5,+,611,1.163,9.344,9.2071
4.5,+,604,0.53,1.5,-,741,1.702,9.335,9.1982
1.5,+,611,0.566,2.5,-,743,1.739,9.334,9.1972
6.5,-,716,0.0,5.5,+,606,1.181,9.326,9.1894
1.5,+,611,0.566,0.5,-,501,1.751,9.322,9.1854
1.5,+,611,0.566,2.5,-,752,1.751,9.322,9.1854
2.5,+,613,0.628,1.5,-,761,1.825,9.31,9.1736
4.5,+,604,0.53,2.5,-,743,1.739,9.298,9.1618
4.5,+,615,1.171,0.5,-,750,2.384,9.294,9.1578
3.5,+,613,1.167,0.5,-,750,2.384,9.29,9.1539
4.5,+,604,0.53,0.5,-,501,1.751,9.286,9.1499
4.5,+,604,0.53,2.5,-,752,1.751,9.286,9.1499
0.5,+,611,1.14,0.5,-,750,2.384,9.263,9.1273
5.5,+,606,1.127,0.5,-,750,2.384,9.25,9.1145
1.5,+,611,0.566,1.5,-,761,1.825,9.248,9.1125
4.5,+,604,0.53,1.5,-,761,1.825,9.212,9.077
5.5,-,725,1.026,0.5,-,750,2.384,9.149,9.0149
0.5,+,620,0.828,0.5,-,750,2.384,8.951,8.8198
1.5,+,622,0.817,0.5,-,750,2.384,8.94,8.809
6.5,-,716,0.0,3.5,-,743,1.619,8.888,8.7578
6.5,-,716,0.0,0.5,+,611,1.637,8.87,8.74
6.5,-,716,0.0,0.5,-,741,1.642,8.865,8.7351
6.5,-,716,0.0,1.5,-,741,1.702,8.805,8.676
6.5,-,716,0.0,2.5,-,743,1.739,8.768,8.6395
6.5,-,716,0.0,0.5,-,501,1.751,8.756,8.6277
6.5,-,716,0.0,2.5,-,752,1.751,8.756,8.6277
2.5,+,613,0.628,0.5,-,750,2.384,8.751,8.6228
1.5,+,611,0.566,0.5,-,750,2.384,8.689,8.5617
6.5,-,716,0.0,1.5,-,761,1.825,8.682,8.5548
4.5,+,604,0.53,0.5,-,750,2.384,8.653,8.5262
6.5,-,716,0.0,0.5,-,750,2.384,8.123,8.004
