name                 , method             , Ealpha, Texp    , Tcal                  , HF
265Sga->261Rfb_center, Qi2009_UDL         ,  8.84 ,  8.5    , 2.353629426750539     ,    40.12715144152325
265Sga->261Rfb_lower , Qi2009_UDL         ,  8.84 ,  6.9    , 2.353629426750539     ,    32.57380528782476
265Sgb->261Rfa_upper , Qi2009_UDL         ,  8.69 , 18.1    , 7.130718673431731     ,    12.691567869195708
265Sgb->261Rfa_center, Qi2009_UDL         ,  8.69 , 14.4    , 7.130718673431731     ,    10.097158967757911
265Sgb->261Rfa_lower , Qi2009_UDL         ,  8.69 , 11.9    , 7.130718673431731     ,     8.344179980299941
265Sgb->261Rfb_upper , Qi2009_UDL         ,  8.69 , 18.1    , 7.130718673431731     ,     3.172891967298927
265Sgb->261Rfb_center, Qi2009_UDL         ,  8.69 , 14.4    , 7.130718673431731     ,     2.524289741939478
265Sgb->261Rfb_lower , Qi2009_UDL         ,  8.69 , 11.9    , 7.130718673431731     ,     2.0860449950749853
261Rfa->257No_upper  , Qi2009_UDL         ,  8.28 , 71.0    , 33.153640458644844    ,     2.1415446092130943
261Rfa->257No_center , Qi2009_UDL         ,  8.28 , 68.0    , 33.153640458644844    ,     2.0510568088238084
261Rfa->257No_lower  , Qi2009_UDL         ,  8.28 , 65.0    , 33.153640458644844    ,     1.9605690084345229
261Rfb->257No_upper  , Qi2009_UDL         ,  8.51 ,  3.3    , 5.601817821912133     ,     3.2727471539007325
261Rfb->257No_center , Qi2009_UDL         ,  8.51 ,  2.6    , 5.601817821912133     ,     2.578528060649062
261Rfb->257No_lower  , Qi2009_UDL         ,  8.51 ,  2.1    , 5.601817821912133     ,     2.082657279755012
257No->253Fm_1_upper , Qi2009_UDL         ,  8.222, 25.0    , 10.111471052738123    ,     2.978842719383982
257No->253Fm_1_center, Qi2009_UDL         ,  8.222, 24.5    , 10.111471052738123    ,     2.9192658649963024
257No->253Fm_1_lower , Qi2009_UDL         ,  8.222, 24.0    , 10.111471052738123    ,     2.8596890106086224
257No->253Fm_2_upper , Qi2009_UDL         ,  8.323, 25.0    , 4.6245385936882055    ,    31.79967483245243
257No->253Fm_2_center, Qi2009_UDL         ,  8.323, 24.5    , 4.6245385936882055    ,    31.16368133580337
257No->253Fm_2_lower , Qi2009_UDL         ,  8.323, 24.0    , 4.6245385936882055    ,    30.527687839154325
277Cn_l_upper        , Viola-Seaborg      , 11.11 ,  0.00107, 0.00018555937367728786,     5.766348413424108
277Cn_l_mean         , Viola-Seaborg      , 11.11 ,  0.00061, 0.00018555937367728786,     3.2873575067184166
277Cn_l_lower        , Viola-Seaborg      , 11.11 ,  0.00043, 0.00018555937367728786,     2.317317586703146
277Cn_h_upper        , Viola-Seaborg      , 11.39 ,  0.00107, 4.074233698854668e-05 ,    26.262607378187315
277Cn_h_mean         , Viola-Seaborg      , 11.39 ,  0.00061, 4.074233698854668e-05 ,    14.972140654854451
277Cn_h_lower        , Viola-Seaborg      , 11.39 ,  0.00043, 4.074233698854668e-05 ,    10.554131937028547
273Ds_a              , Viola-Seaborg      , 10.858,  0.00576, 0.0002042174206783861 ,    28.205233328606163
273Ds_a_upper        , Viola-Seaborg      , 10.858,  0.03339, 0.0002042174206783861 ,   163.50221195176385
273Ds_a_lower        , Viola-Seaborg      , 10.858,  0.00313, 0.0002042174206783861 ,    15.326802138634944
273Ds_b              , Viola-Seaborg      , 10.894,  0.017  , 0.00016704405382030486,   101.76956085062146
273Ds_b_upper        , Viola-Seaborg      , 10.894,  0.049  , 0.00016704405382030486,   293.33579304002654
273Ds_b_lower        , Viola-Seaborg      , 10.894,  0.01   , 0.00016704405382030486,    59.86444755918909
273Ds_c              , Viola-Seaborg      , 11.165,  0.00016, 3.79795227531868e-05  ,     4.212796486142646
273Ds_c_upper        , Viola-Seaborg      , 11.165,  0.00024, 3.79795227531868e-05  ,     6.319194729213969
273Ds_c_lower        , Viola-Seaborg      , 11.165,  0.00011, 3.79795227531868e-05  ,     2.896297584223069
269Hs_a              , Viola-Seaborg      ,  9.13 ,  9.6    , 2.612013736105652     ,     3.6753252355835597
269Hs_a_upper        , Viola-Seaborg      ,  9.13 , 14.05   , 2.612013736105652     ,     5.378991620828023
269Hs_a_lower        , Viola-Seaborg      ,  9.13 ,  6.92   , 2.612013736105652     ,     2.649296940649816
269Hs_b              , Viola-Seaborg      ,  8.95 ,  6.49   , 9.571159993033376     ,     0.6780787286727962
269Hs_b_upper        , Viola-Seaborg      ,  8.95 , 37.58   , 9.571159993033376     ,     3.926378832592246
269Hs_b_lower        , Viola-Seaborg      ,  8.95 ,  3.52   , 9.571159993033376     ,     0.3677715138564318
265Sga->261Rfa_upper , Viola-Seaborg      ,  8.84 , 11.1    , 4.409479916204197     ,     2.766267775248743
265Sga->261Rfa_center, Viola-Seaborg      ,  8.84 ,  8.5    , 4.409479916204197     ,     2.118313161226515
265Sga->261Rfa_lower , Viola-Seaborg      ,  8.84 ,  6.9    , 4.409479916204197     ,     1.7195718602897592
265Sga->261Rfb_upper , Viola-Seaborg      ,  8.84 , 11.1    , 4.409479916204197     ,    27.97004083862618
265Sga->261Rfb_center, Viola-Seaborg      ,  8.84 ,  8.5    , 4.409479916204197     ,    21.418499741290315
265Sga->261Rfb_lower , Viola-Seaborg      ,  8.84 ,  6.9    , 4.409479916204197     ,    17.38678214292979
265Sgb->261Rfa_upper , Viola-Seaborg      ,  8.69 , 18.1    , 13.376845954381604    ,     6.765421408651013
