record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,method,method_slug,Qalpha_MeV,Ealpha_MeV,Qalpha_err_MeV,qalpha_estimated,Qalpha_qualifier,Talpha_partial_exp_s,Talpha_err_plus_s,Talpha_err_minus_s,Talpha_qualifier,decay_modes_raw,b_alpha_percent,b_SF_percent,alpha_daughter,alpha_daughter_population_raw,log10_Tcalc_s,Tcalc_s,log10_HF,HF,l_used,l_assumed,calculation_status,model_status,diagnostics_json,cell_record_index,cell_record_count,HF_definition,Qalpha_source_column,Talpha_source_column
source-row-0045,45,251Md,,Md,251,101,150,Poenaru,poenaru,7.963,,0.004,False,,2526,138,138,>,"alpha, EC",10,,,,0.858038082748,7.21170714981,2.54439526347,350.263806825,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.268938926529101}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0047,47,253Md,,Md,253,101,152,Poenaru,poenaru,7.573,,0.008,False,,51428.5714286,102857.142857,25714.2857143,approx,"alpha, EC",0.7,,,,2.22560764035,168.115455004,2.4855968204,305.912216265,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2563166960404988}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0049,49,255Md,,Md,255,101,154,Poenaru,poenaru,7.9056,,0.0017,False,,23142.8571429,1714.28571429,1714.28571429,,"alpha, EC",7,,,,1.04581306094,11.1125329301,3.31860391359,2082.59064683,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2681444466995377}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0050,50,256Md,,Md,256,101,155,Poenaru,poenaru,7.74,,0.11,True,,50673.9130435,978.260869565,978.260869565,,"alpha, EC, SF",9.2,3,,,1.62203266364,41.8825064108,3.0827517782,1209.90641168,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.26280575481087287}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0051,51,257Md,,Md,257,101,156,Poenaru,poenaru,7.5571,,0.0009,False,,132480,1200,1200,,"alpha, EC, SF",15,1,,,2.28325810665,191.980936846,2.83889221279,690.068515014,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.25686641196655696}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0052,52,258Md,,Md,258,101,157,Poenaru,poenaru,7.2713,,0.0019,False,,4449600,25056,25056,,"alpha, EC",100,,,,3.37107412953,2350.03391286,3.27724684199,1893.41948457,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2474120036129748}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0053,53,259Md,,Md,259,101,158,Poenaru,poenaru,7.05,,0.1,True,,445846.153846,16615.3846154,16615.3846154,>,"alpha, SF",1.3,100,,,4.26340806638,18340.3688796,1.38577695811,24.3095521564,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.24013347120835038}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0054,54,260Md,,Md,260,101,159,Poenaru,poenaru,6.94,,0.3,True,,54950400,864000,864000,>,"alpha, EC, beta^-, SF",5,100,,,4.72616564688,53231.1252598,3.01380521125,1032.29829788,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2366335227664809}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0055,55,249No,,No,249,102,147,Poenaru,poenaru,9.276,,0.02,False,,0.0381,0.0025,0.0025,,alpha,100,,,,-2.82270763557,0.00150415421288,1.40363261125,25.3298496084,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.3094808866490066}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0056,56,250No,,No,250,102,148,Poenaru,poenaru,8.95,,0.2,True,,0.00023,1e-05,1e-05,>,"alpha, SF",2,100,,,-1.94032633712,0.0114729120114,-1.69794582687,0.0200472207729,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2989279642590967}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0057,57,251No,,No,251,102,149,Poenaru,poenaru,8.752,,0.004,False,,0.888888888889,0.111111111111,0.111111111111,,"alpha, EC, SF",90,0.0014,,,-1.3791839658,0.0417653412472,1.32803144336,21.2829313097,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.29263040941012997}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0058,58,252No,,No,252,102,150,Poenaru,poenaru,8.549,,0.005,False,,3.64940828402,0.0236686390533,0.0236686390533,,"alpha, EC, SF",67.6,31,,,-0.780683920896,0.165697546988,1.34290637444,22.0245160557,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28615038425398287}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0059,59,253No,,No,253,102,151,Poenaru,poenaru,8.415,,0.004,False,,171.272727273,2.18181818182,2.18181818182,,"alpha, EC",55,,,,-0.373150659656,0.423496026964,2.60683887295,404.42581835,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2819669810126752}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0060,60,254No,,No,254,102,152,Poenaru,poenaru,8.226,,0.008,False,,56.8888888889,0.444444444444,0.444444444444,,"alpha, EC, SF",90,0.17,,,0.22235640378,1.6686160006,1.53267104776,34.0934576131,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2759282825397951}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0061,61,255No,,No,255,102,153,Poenaru,poenaru,8.4282,,0.003,False,,704,36,36,,"alpha, EC",30,,,,-0.419198176391,0.380891975866,3.26677083553,1848.29307155,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28301144447180643}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0062,62,256No,,No,256,102,154,Poenaru,poenaru,8.582,,0.005,False,,2.92609351433,0.0502765208648,0.0502765208648,,"alpha, SF",99.45,0.55,,,-0.89154295306,0.128368080421,1.35783115459,22.7945569079,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.28848126587972117}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0063,63,257No,,No,257,102,155,Poenaru,poenaru,8.477,,0.006,False,,28.8235294118,0.588235294118,0.588235294118,,"alpha, EC, SF",85,1.5,,,-0.573634268322,0.266910544761,2.03338142697,107.989474292,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.2852525450897961}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
source-row-0065,65,259No,,No,259,102,157,Poenaru,poenaru,7.854,,0.005,False,,4640,400,400,,"alpha, EC, SF",75,10,,,1.46528039281,29.1931119565,2.20123758774,158.941602626,,False,ok,within_implemented_formula,"{""N_interval"": ""(127,185]"", ""Z_interval"": ""(83,115]"", ""parameter_set"": ""original1980"", ""x"": 0.26484371631796877}",1,1,HF = T_alpha_half_s / Tcalc_s,Qalpha_MeV,T_alpha_half_s
