record_id,source_csv_line,isotope,state_label,symbol,A,Z,N,Qalpha_MeV,Ealpha_MeV,T_alpha_half_s,b_alpha_percent,b_SF_percent,alpha_daughter,alpha_daughter_population_raw,Qalpha_estimated,Qalpha_is_experimental,T_alpha_half_qualifier,cell_record_index,cell_record_count,Tcalc_s__poenaru,log10_Tcalc_s__poenaru,HF__poenaru,log10_HF__poenaru,Tcalc_s__dzr,log10_Tcalc_s__dzr,HF__dzr,log10_HF__dzr,Tcalc_s__ismail2022_formula_e,log10_Tcalc_s__ismail2022_formula_e,HF__ismail2022_formula_e,log10_HF__ismail2022_formula_e,Tcalc_s__qi2009_udl,log10_Tcalc_s__qi2009_udl,HF__qi2009_udl,log10_HF__qi2009_udl,Tcalc_s__viola_seaborg,log10_Tcalc_s__viola_seaborg,HF__viola_seaborg,log10_HF__viola_seaborg,Tcalc_s__xu2022_unified,log10_Tcalc_s__xu2022_unified,HF__xu2022_unified,log10_HF__xu2022_unified,Tcalc_s__e_rurarz,log10_Tcalc_s__e_rurarz,HF__e_rurarz,log10_HF__e_rurarz
source-row-0026,26,247Fm,,Fm,247,100,147,8.258,,48.4375,64,,,,False,True,,1,1,0.456836593034,-0.340239115979,106.028065042,2.02542083583,17.1417528469,1.23405522907,2.82570285739,0.451126490781,16.2849107363,1.21178538238,2.97437921426,0.473396337474,5.17846966098,0.714201436196,9.35363209037,0.970980283654,6.73437372517,0.828297213964,7.19257676761,0.856884505887,5.33863973898,0.727430614873,9.07300405501,0.957751104977,4.32107134648,0.635591437134,11.2096043125,1.04959028272
source-row-0027,27,248Fm,,Fm,248,100,148,7.995,,34.8484848485,99,0.1,,,False,True,approx,1,1,3.22552507272,0.508600422111,10.8039727061,1.03358347837,58.0988565045,1.76416758474,0.599813609856,-0.221983684261,48.7621461235,1.68808281157,0.714662655745,-0.145898911095,39.2617237654,1.59396936315,0.887594366888,-0.0517854626785,52.6424205073,1.72133585,0.661984850101,-0.179151949522,24.977847662,1.39755501255,1.39517565004,0.144628887927,33.4966381767,1.52500122212,1.04035768201,0.0171826783517
source-row-0028,28,249Fm,,Fm,249,100,149,7.709,,615.384615385,15.6,,,,False,True,,1,1,30.6455990197,1.48636811479,20.0806848314,1.3027785199,1417.57773097,3.15154688217,0.434109962325,-0.362400247487,1386.83010576,3.14202326089,0.443734681578,-0.352876626209,401.779980031,2.60398829284,1.53164579115,0.185158341841,554.479390478,2.74388540843,1.1098421798,0.0452612262523,401.909369741,2.60412813105,1.53115269689,0.185018503638,354.421888506,2.54952053535,1.73630533367,0.239626099337
source-row-0029,29,250Fm,,Fm,250,100,150,7.557,,1860,100,0.0069,,,False,True,,1,1,107.096637167,2.02977583421,17.3674921005,1.23973711001,2233.02796712,3.34889416234,0.832949711059,-0.0793812181236,1691.90651542,3.22837636286,1.09935152034,0.0411365813547,1433.10576045,3.15627824168,1.2978804854,0.11323470254,2045.55590066,3.31081135233,0.909288276794,-0.041298408117,897.837285341,2.9531976368,2.07164486301,0.316315307419,1313.89286943,3.1185599557,1.41564053149,0.150952988517
source-row-0030,30,251Fm,,Fm,251,100,151,7.4245,,1060000,1.8,,,,False,True,,1,1,330.154708065,2.51871749477,3210.61603577,3.50658837049,16273.9404986,4.21149272378,65.1348086282,1.81381314149,16570.062687,4.21932415142,63.9707899736,1.80598171384,4464.5256547,3.64977532291,237.427239081,2.37553054235,6593.9228229,3.81914385973,160.754080457,2.20616200553,4447.03073316,3.64807013084,238.361293997,2.37723573442,4270.15901338,3.63044404771,248.234315556,2.39486181756
source-row-0031,31,252Fm,,Fm,252,100,152,7.1527,,91368,100,0.0023,,,False,True,,1,1,3717.62076202,3.57026508491,24.5770092887,1.39052903362,86988.0047159,4.93945936934,1.05035171572,0.0213347491815,59018.2402363,4.77098625587,1.54813155448,0.189807862651,53027.5822833,4.72450182654,1.7230278294,0.236292291991,80493.4581389,4.90576058584,1.13509845536,0.0550335326877,33358.7852737,4.52321022786,2.73894865327,0.437583890665,53963.6258955,4.73210112287,1.69314049017,0.22869299566
source-row-0032,32,253Fm,,Fm,253,100,153,7.1979,,2160000,12,,,,False,True,,1,1,2458.07049886,3.39059433454,878.738018701,2.94385941661,124301.505328,5.09447638811,17.3771025082,1.23997736304,132021.03567,5.12064313536,16.3610290514,1.2138106158,33223.0117588,4.52143899991,65.0151773019,1.81301475124,52577.4790052,4.72079975864,41.0822283774,1.61365399251,33175.6596435,4.52081956685,65.107974437,1.8136341843,34908.3647616,4.54292950531,61.8762870949,1.79152424584
source-row-0033,33,254Fm,,Fm,254,100,154,7.3073,,11671.0026016,99.94,0.06,,,False,True,,1,1,918.899274407,2.96326790859,12.7010684703,1.10384025727,18350.87784,4.26365684417,0.635991515138,-0.196548678303,11342.2835096,4.05470049863,1.02898173826,0.0124076672381,11522.5573772,4.06154887939,1.01288301021,0.00555928647279,19065.7601453,4.28025412513,0.612144625372,-0.213145959259,7203.92229987,3.85756901996,1.62009001704,0.209539145912,12420.2987345,4.09413204167,0.939671649698,-0.0270238758001
source-row-0034,34,255Fm,,Fm,255,100,155,7.2406,,97452,100,2.4e-05,,,False,True,,1,1,1672.12641416,3.22326910737,58.2802826237,1.76552164917,75957.2647377,4.88056931717,1.28298458793,0.108221439371,85237.8722403,4.93063260005,1.14329461117,0.058158156484,20568.6114248,4.31320497371,4.73789882978,0.675585782825,35290.8707199,4.5476623737,2.76139403795,0.441128382843,20476.3421458,4.31125237771,4.7592484686,0.677538378832,23219.5212454,4.36585326094,4.1969857591,0.622937495598
source-row-0035,35,256Fm,,Fm,256,100,156,7.0253,,116370.37037,8.1,91.9,,,False,True,,1,1,12290.5994698,4.08957306597,9.46824202156,0.976269350576,255301.840131,5.40705394507,0.455814851592,-0.341211528521,139852.419591,5.14566998451,0.832094079679,-0.0798275679696,154764.529352,5.18967143134,0.751918872222,-0.12382901479,273313.09632,5.43666044224,0.425776781052,-0.370818025697,97518.6801884,4.98908781494,1.19331363125,0.0767546016088,187536.676369,5.27308621493,0.620520596951,-0.207243798382
